time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-07T15:49:22.000Z,56.5203,-156.4077,71.7,2.8,ml,,,,0.58,ak,ak11619774,2015-06-07T23:51:56.081Z,"91km NNW of Chirikof Island, Alaska",earthquake
2015-06-07T15:45:30.230Z,10.8139,126.1088,55.31,4.8,mb,,57,3.756,0.78,us,us20002mrp,2015-06-07T23:48:07.719Z,"33km ESE of Sulangan, Philippines",earthquake
2015-06-07T15:00:24.000Z,59.2159,-152.6362,54.8,2.6,ml,,,,0.57,ak,ak11619768,2015-06-07T23:03:06.817Z,"77km SW of Homer, Alaska",earthquake
2015-06-07T14:31:32.000Z,60.8031,-152.2815,107.3,3,ml,,,,0.58,ak,ak11619728,2015-06-07T22:34:05.617Z,"43km NE of Redoubt Volcano, Alaska",earthquake
2015-06-07T14:19:38.160Z,36.6661667,-121.2913333,5.8,3.15,ml,73,53,0.01448,0.07,nc,nc72462401,2015-06-09T00:26:05.819Z,"17km SSE of Ridgemark, California",earthquake
2015-06-07T13:29:53.420Z,44.4381,-114.078,5,2.7,ml,,91,0.187,0.66,us,us20002mxd,2015-06-08T14:30:27.801Z,"14km ESE of Challis, Idaho",earthquake
2015-06-07T13:03:52.100Z,10.3061,-73.3231,97.34,4.2,mb,,39,1.873,0.93,us,us20002mqv,2015-06-07T21:06:28.097Z,"15km WSW of San Diego, Colombia",earthquake
2015-06-07T12:56:07.180Z,36.9206,-97.6272,2.04,2.8,mb_lg,,31,0.151,0.43,us,us20002mqr,2015-06-07T17:01:00.296Z,"12km S of Caldwell, Kansas",earthquake
2015-06-07T09:34:29.850Z,55.158,165.2671,33.2,4.5,mb,,125,4.444,0.52,us,us20002mpt,2015-06-07T17:36:56.081Z,"46km W of Nikol'skoye, Russia",earthquake
2015-06-07T08:40:31.000Z,56.8734,-155.7863,143.1,2.5,ml,,,,1.11,ak,ak11619505,2015-06-07T16:43:00.964Z,"117km N of Chirikof Island, Alaska",earthquake
2015-06-07T06:39:30.570Z,-6.6495,-81.0552,26.76,4.8,mb,,111,6.738,0.98,us,us20002mpb,2015-06-07T14:42:05.255Z,"116km W of Morrope, Peru",earthquake
2015-06-07T06:26:51.400Z,19.7315,-65.9263,55,2.7,Md,7,302.4,1.37082912,0.17,pr,pr15158001,2015-06-07T14:29:31.248Z,"141km N of San Juan, Puerto Rico",earthquake
2015-06-07T04:54:23.880Z,33.9168333,-118.297,11.41,3.2,ml,126,37,0.04696,0.25,ci,ci37394832,2015-06-09T23:52:55.123Z,"3km NNE of Gardena, California",earthquake
2015-06-07T04:42:49.270Z,13.9687,145.0128,52.44,4.5,mb,,157,0.402,0.46,us,us20002mnw,2015-06-07T12:45:31.464Z,"29km SW of Rota, Northern Mariana Islands",earthquake
2015-06-07T03:09:31.600Z,-28.2667,-71.3794,32.37,4.5,mb,,146,0.276,1.1,us,us20002mnh,2015-06-07T11:12:05.377Z,"69km WNW of Vallenar, Chile",earthquake
2015-06-07T02:32:39.750Z,-15.1401,-177.4498,377.6,4.6,mb,,60,5.032,0.76,us,us20002mnb,2015-06-07T10:35:18.689Z,"120km SE of Sigave, Wallis and Futuna",earthquake
2015-06-07T00:43:37.800Z,-19.9825,-70.9777,12.23,4.1,mwr,,158,0.845,0.92,us,us20002mmz,2015-06-07T08:46:09.728Z,"91km WNW of Iquique, Chile",earthquake
2015-06-07T00:09:42.820Z,12.1087,144.0313,10,5,mb,,54,1.682,0.89,us,us20002mmx,2015-06-07T08:12:09.596Z,"145km SSW of Merizo Village, Guam",earthquake
2015-06-06T23:50:58.250Z,43.5069,144.0246,23.09,4.3,mb,,147,1.203,0.5,us,us20002mmq,2015-06-07T07:53:34.549Z,"34km SSE of Kitami, Japan",earthquake
2015-06-06T22:26:56.190Z,-5.454,152.8698,35,4.7,mb,,99,1.438,0.45,us,us20002mmb,2015-06-07T06:29:37.136Z,"110km S of Taron, Papua New Guinea",earthquake
2015-06-06T21:56:45.630Z,6.4957,-82.5227,10,4.5,mb,,170,2.06,1.14,us,us20002mls,2015-06-07T05:59:19.231Z,"174km SSE of Punta de Burica, Panama",earthquake
2015-06-06T20:52:10.000Z,61.4067,-150.0945,44.1,2.8,ml,,,,0.7,ak,ak11619241,2015-06-07T04:54:44.016Z,"14km SSW of Big Lake, Alaska",earthquake
2015-06-06T20:22:31.930Z,-2.2778,138.8712,48.95,5.2,mb,,31,6.646,0.7,us,us20002mld,2015-06-07T04:25:07.507Z,"194km WNW of Abepura, Indonesia",earthquake
2015-06-06T18:09:34.960Z,32.9368,-88.004,6.22,3,mb_lg,,64,0.077,0.89,us,us20002mky,2015-06-09T15:15:12.925Z,"15km NW of Eutaw, Alabama",earthquake
2015-06-06T15:55:26.070Z,36.248,-97.5378,5,2.8,mb_lg,,62,0.441,0.59,us,us20002mkf,2015-06-06T19:11:38.089Z,"22km WSW of Perry, Oklahoma",earthquake
2015-06-06T14:18:32.000Z,61.4697,-146.592,17.4,2.5,ml,,,,0.73,ak,ak11619089,2015-06-06T22:20:58.667Z,"39km NNW of Valdez, Alaska",earthquake
2015-06-06T13:26:24.000Z,56.7311,-156.7336,87.5,3.1,ml,,,,0.41,ak,ak11619071,2015-06-06T21:28:50.517Z,"122km NW of Chirikof Island, Alaska",earthquake
2015-06-06T13:22:42.580Z,16.164,-94.5623,78.29,4.6,mb,,169,2.333,1.13,us,us20002mju,2015-06-06T21:25:19.369Z,"12km SE of San Francisco del Mar, Mexico",earthquake
2015-06-06T13:01:05.830Z,36.2367,-96.7535,5,2.9,mb_lg,,45,0.074,0.47,us,us20002mjs,2015-06-06T21:03:36.301Z,"12km SSE of Pawnee, Oklahoma",earthquake
2015-06-06T11:08:33.950Z,14.9634,119.7915,66.89,4.8,mb,,107,7.907,0.51,us,us20002mjh,2015-06-07T06:44:05.619Z,"30km W of San Nicolas, Philippines",earthquake
2015-06-06T10:54:24.040Z,36.6686667,-121.2933333,5.87,2.63,md,66,65,0.01624,0.05,nc,nc72461786,2015-06-08T19:12:05.049Z,"17km SSE of Ridgemark, California",earthquake
2015-06-06T10:19:40.510Z,13.092,-88.801,67.92,4.4,mb,,136,0.724,1.03,us,us20002mj9,2015-06-06T18:22:20.471Z,"34km SW of Puerto El Triunfo, El Salvador",earthquake
2015-06-06T07:28:15.180Z,33.2428,139.1552,10,4.6,mb,,70,0.566,0.65,us,us20002mil,2015-06-06T15:30:54.119Z,"62km WNW of Hachijo-jima, Japan",earthquake
